contributor,first_deposit_time,first_hour,max_single_deposit_eth,final_weight_eth,approx_points,deposit_count
0x8e04ebc67e5078f8fde2cd0b4b3fbfa703fea036,2026-08-16 23:09:11.000 UTC,3,70,130.746,11434.4,1
0x81aeb69b3cc97c8cd917770590ac7f9ba761565f,2026-08-16 23:40:35.000 UTC,3,70,129.22,11367.5,1
0x743ee1f4f2412e9237f5c58cdd74693f1e027558,2026-08-16 23:32:35.000 UTC,3,70,129.612,11384.7,1
0x7e788209df79c476d97a309324a9bf95bcd72e97,2026-08-16 23:21:35.000 UTC,3,70,130.144,11408.1,1
0x72f02154b3cd7326db767868dc06e4cede699706,2026-08-16 22:30:35.000 UTC,2,70,132.622,11516.2,1
0x3730ce983bcde8a76c00e5fafea7b2f89feb10b0,2026-08-16 23:24:11.000 UTC,3,70,130.018,11402.5,1
0x96bc7b727ab1fb13f6368440ed34f2e1883bdf6d,2026-08-16 23:36:59.000 UTC,3,70,129.395,11375.2,1
0x851a227399bb7a64e9999bc94c9218cd828181d7,2026-08-16 22:49:59.000 UTC,2,70,131.684,11475.4,1
0x4e0618aa6883b756b52de2192402f122ffd7d685,2026-08-16 23:25:47.000 UTC,3,70,129.941,11399.2,1
0x4edc23bff05bd48e6d9c452454643058871ddd92,2026-08-16 22:42:35.000 UTC,2,70,132.041,11490.9,1
0xf1ddbc9db3f5db20e5f5a0f1156f9bb0b6e4d316,2026-08-16 23:26:47.000 UTC,3,70,129.892,11397,1
0x66333aa493545ebe2c6a137044766d7ce2ebd956,2026-08-16 23:12:23.000 UTC,3,70,130.592,11427.7,1
0xaab60fcae970da078a18e165d0e6f9f570731a14,2026-08-16 22:27:23.000 UTC,2,70,132.783,11523.2,1
0x23991d8eec6b36d883fd7cb3a7ea3cb3c7d201ac,2026-08-16 23:07:47.000 UTC,3,70,130.816,11437.5,1
0xc49b8bc5caa6b961adcd492f447aab25328fda6f,2026-08-16 22:45:59.000 UTC,2,70,131.873,11483.6,1
0xdfcce30c2a6632c815af18a8200260dba5b93ad3,2026-08-16 23:27:35.000 UTC,3,70,129.85,11395.2,1
0x0e805674c294cab3597666429f438639f54f8a43,2026-08-16 23:39:35.000 UTC,3,70,129.269,11369.7,1
0x4e2380d8a96e1f370c258e002b15405fe94ee32b,2026-08-17 15:17:35.000 UTC,19,69,82.0094,9055.9,3
0x4ac4a33101abb2aa21167de2b881429b915818a3,2026-08-16 20:41:35.000 UTC,0,63.5,125.0828,11184,2
0xd03da4452bf9478c67a54c56d46678d55a8d9483,2026-08-16 21:33:35.000 UTC,1,62,119.9204,10950.8,1
0x00000000000a5c3aff42542a5f110c50db3c9206,2026-08-17 14:09:47.000 UTC,18,61,75.5072,8689.5,5
0x7f78c53cfbb7c43627f3f9e1cec119e9bafc62c6,2026-08-16 20:50:47.000 UTC,0,60,117.834,10855.1,1
0xf0f9d2d136e414ab6e73175d67fe73e87351ca4e,2026-08-16 20:51:59.000 UTC,0,60,117.786,10852.9,1
0x454dfa08059be8e099b5abd4eae322aa5446a103,2026-08-16 20:48:23.000 UTC,0,60,117.936,10859.8,1
0x9624155ef10797206224eea2256849dc3c468554,2026-08-16 20:52:35.000 UTC,0,60,117.762,10851.8,1
0x9e6d507bbe988cf6b04f761ebdd56a13486a3554,2026-08-16 20:50:11.000 UTC,0,60,117.864,10856.5,1
0xac0b17cb215403425600b24a0e354384f2682d32,2026-08-16 20:48:59.000 UTC,0,60,117.912,10858.7,1
0x9d20ba0c32e83a412960b53b2b55957aad3664da,2026-08-16 20:53:23.000 UTC,0,60,117.726,10850.2,1
0xbc87ca75ee832c4d6894790958ba8c9d3b48beb6,2026-08-16 20:47:47.000 UTC,0,60,117.96,10860.9,1
